"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"1","Aaron Judge",NYY,"OF1","1","2","1.4","0.5","0"
"2","Shohei Ohtani (Batter)",LAD,"DH1","2","2","2.0","0.0","-"
"3","Bobby Witt Jr.",KC,"SS1","3","4","3.0","0.0","0"
"4","Juan Soto",NYM,"OF2","3","5","4.0","0.0","0"
"5","Jose Ramirez",CLE,"3B1","4","10","5.6","0.5","0"
"6","Ronald Acuna Jr.",ATL,"OF3","5","16","6.7","0.5","+2"
"7","Corbin Carroll",ARI,"OF4","5","11","7.1","1.6","0"
"8","Julio Rodriguez",SEA,"OF5","7","11","8.7","1.0","+3"
"9","Tarik Skubal",DET,"SP1","5","21","9.3","2.6","-3"
"10","Elly De La Cruz",CIN,"SS2","6","18","9.9","2.0","-1"
"11","Paul Skenes",PIT,"SP2","9","19","11.6","1.4","-1"
"12","Fernando Tatis Jr.",SD,"OF6","10","21","12.7","2.8","+1"
"13","Garrett Crochet",BOS,"SP3","10","23","13.3","1.6","-1"
"14","Gunnar Henderson",BAL,"SS3","11","20","13.7","1.2","+4"
"15","Kyle Tucker",LAD,"OF7","8","26","15.0","3.1","+4"
"16","Francisco Lindor",NYM,"SS4","12","18","15.0","0.9","0"
"17","Junior Caminero",TB,"3B2","7","44","16.3","2.0","-3"
"18","Cal Raleigh",SEA,"C1","12","21","18.0","1.3","-3"
"19","Nick Kurtz",ATH,"1B1","17","27","19.1","1.5","-2"
"20","Jackson Chourio",MIL,"OF8","11","24","19.9","1.5","+2"
"21","Vladimir Guerrero Jr.",TOR,"1B2","15","24","20.0","2.3","-1"
"22","Kyle Schwarber",PHI,"DH2","15","24","20.7","2.0","-1"
"23","Jazz Chisholm Jr.",NYY,"2B1","13","24","21.6","2.0","0"
"24","Pete Alonso",BAL,"1B3","22","29","24.4","1.6","+2"
"25","Trea Turner",PHI,"SS5","21","42","26.4","2.8","+2"
"26","Ketel Marte",ARI,"2B2","20","38","27.6","3.3","+2"
"27","Yordan Alvarez",HOU,"OF9","24","44","28.7","3.4","+6"
"28","Yoshinobu Yamamoto",LAD,"SP4","23","48","29.4","3.8","-4"
"29","Cristopher Sanchez",PHI,"SP5","26","41","30.0","3.1","-4"
"30","Bryce Harper",PHI,"1B4","29","50","31.7","3.1","+13"
"31","Manny Machado",SD,"3B3","25","51","33.3","3.2","+4"
"32","Matt Olson",ATL,"1B5","25","52","33.7","6.5","+10"
"33","Hunter Brown",HOU,"SP6","30","44","34.7","2.7","-3"
"34","Pete Crow-Armstrong",CHC,"OF10","25","57","35.9","7.3","-5"
"35","Rafael Devers",SF,"1B6","25","59","36.3","7.2","+10"
"36","Zach Neto",LAA,"SS6","29","48","37.0","4.2","-5"
"37","Chris Sale",ATL,"SP7","30","47","37.9","2.4","-3"
"38","James Wood",WSH,"OF11","30","47","38.3","5.4","-6"
"39","Logan Gilbert",SEA,"SP8","31","42","38.9","2.2","-2"
"40","Bryan Woo",SEA,"SP9","28","45","39.3","2.8","-4"
"41","Jacob deGrom",TEX,"SP10","35","74","43.1","5.1","-1"
"42","Logan Webb",SF,"SP11","36","76","44.1","9.0","+5"
"43","Mookie Betts",LAD,"SS7","37","65","45.1","7.1","+6"
"44","Hunter Greene",CIN,"SP12","40","55","46.0","3.3","+2"
"45","Brent Rooker",ATH,"OF12","32","150","48.6","12.2","+3"
"46","Cole Ragans",KC,"SP13","33","61","48.7","4.6","+10"
"47","Max Fried",NYY,"SP14","43","81","49.0","5.7","-3"
"48","Roman Anthony",BOS,"OF13","39","74","53.0","6.3","+9"
"49","Wyatt Langford",TEX,"OF14","36","72","54.1","3.1","+3"
"50","Freddie Freeman",LAD,"1B7","31","101","54.7","11.5","+3"
"51","Riley Greene",DET,"OF15","38","77","55.6","8.3","+10"
"52","Josh Naylor",SEA,"1B8","38","66","55.7","6.3","+7"
"53","Joe Ryan",MIN,"SP15","43","86","56.1","5.0","+11"
"54","Brice Turang",MIL,"2B3","32","79","57.4","11.9","0"
"55","William Contreras",MIL,"C2","46","67","59.1","3.8","0"
"56","Jackson Merrill",SD,"CF1","48","90","59.3","8.4","+21"
"57","Jarren Duran",BOS,"OF16","33","80","59.9","8.6","+13"
"58","Austin Riley",ATL,"3B4","50","97","61.0","11.6","+9"
"59","George Kirby",SEA,"SP16","48","84","61.9","5.8","+9"
"60","Freddy Peralta",MIL,"SP17","50","83","62.1","9.4","-2"
"61","Spencer Schwellenbach",ATL,"SP18","52","85","63.1","4.6","+21"
"62","Cody Bellinger",FA,"OF17","46","87","63.6","7.4","+9"
"63","Geraldo Perdomo",ARI,"SS8","40","81","65.7","13.3","+3"
"64","Blake Snell",LAD,"SP19","49","102","65.9","13.1","-1"
"65","CJ Abrams",WSH,"SS9","47","83","66.3","8.2","-5"
"66","Dylan Cease",TOR,"SP20","49","100","66.4","14.1","+9"
"67","Mason Miller",SD,"RP1","28","151","66.7","20.2","-26"
"68","Shea Langeliers",ATH,"C3","54","102","68.9","9.3","+1"
"69","Corey Seager",TEX,"SS10","57","107","70.7","5.6","+25"
"70","Jesus Luzardo",PHI,"SP21","63","91","71.1","6.2","+9"
"71","Bo Bichette",NYM,"SS11","53","109","71.6","6.4","+22"
"72","George Springer",TOR,"OF18","57","105","74.9","6.6","+6"
"73","Vinnie Pasquantino",KC,"1B9","37","87","75.4","6.6","+13"
"74","Kyle Bradish",BAL,"SP22","64","87","78.0","5.8","+9"
