"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"1","Aaron Judge",NYY,"OF1","1","3","1.8","0.4","+1"
"2","Shohei Ohtani (Batter)",LAD,"DH1","2","2","2.0","0.0","+1"
"3","Bobby Witt Jr.",KC,"SS1","3","5","3.2","0.4","+1"
"4","Juan Soto",NYM,"OF2","3","6","4.0","0.0","+1"
"5","Ronald Acuna Jr.",ATL,"OF3","5","12","6.4","1.9","+2"
"6","Jose Ramirez",CLE,"3B1","5","9","7.2","1.5","0"
"7","Tarik Skubal",DET,"SP1","2","23","7.4","1.4","+1"
"8","Elly De La Cruz",CIN,"SS2","5","15","8.4","1.9","+1"
"9","Julio Rodriguez",SEA,"OF4","8","13","9.6","1.4","+2"
"10","Kyle Tucker",LAD,"OF5","7","14","9.8","2.0","+2"
"11","Paul Skenes",PIT,"SP2","4","22","10.0","2.8","-1"
"12","Garrett Crochet",BOS,"SP3","7","25","11.8","2.5","+1"
"13","Fernando Tatis Jr.",SD,"OF6","10","15","12.8","1.6","+1"
"14","Gunnar Henderson",BAL,"SS3","9","17","13.4","1.6","+3"
"15","Corbin Carroll",ARI,"OF7","12","23","15.6","1.9","0"
"16","Vladimir Guerrero Jr.",TOR,"1B1","12","18","16.4","1.7","+3"
"17","Junior Caminero",TB,"3B2","11","24","17.6","1.9","+1"
"18","Jackson Chourio",MIL,"OF8","15","24","18.4","2.2","+5"
"19","Nick Kurtz",ATH,"1B2","15","21","18.6","1.4","+1"
"20","Cal Raleigh",SEA,"C1","11","25","19.4","1.7","-4"
"21","Kyle Schwarber",PHI,"DH2","14","23","20.6","1.4","0"
"22","Jazz Chisholm Jr.",NYY,"2B1","17","41","21.2","2.3","0"
"23","Trea Turner",PHI,"SS4","19","41","24.2","1.6","+6"
"24","Pete Alonso",BAL,"1B3","20","34","25.2","3.7","+1"
"25","Francisco Lindor",NYM,"SS5","18","38","27.6","5.4","-1"
"26","Ketel Marte",ARI,"2B2","23","36","28.6","2.1","+1"
""
"27","Cristopher Sanchez",PHI,"SP4","25","31","28.6","1.6","+1"
"28","Yoshinobu Yamamoto",LAD,"SP5","26","33","28.8","2.8","-2"
"29","Manny Machado",SD,"3B3","20","45","32.2","3.7","+1"
"30","Yordan Alvarez",HOU,"OF9","26","59","33.6","3.9","+2"
"31","James Wood",WSH,"OF10","28","50","33.6","4.2","+2"
"32","Brent Rooker",ATH,"OF11","25","42","33.8","4.5","+9"
"33","Hunter Brown",HOU,"SP6","32","56","35.0","4.5","+3"
"34","Zach Neto",LAA,"SS6","23","57","36.0","2.6","0"
"35","Pete Crow-Armstrong",CHC,"OF12","25","50","37.2","8.3","-4"
