Your Rankings
1. Aaron Judge
2. Shohei Ohtani (Batter)
3. Bobby Witt Jr.
4. Juan Soto
5. José Ramírez
6. Cal Raleigh
7. Ronald Acuña Jr.
8. Tarik Skubal
9. Elly De La Cruz
10. Julio Rodríguez
11. Paul Skenes
12. Garrett Crochet
13. Kyle Tucker
14. Gunnar Henderson
15. Corbin Carroll
16. Fernando Tatis Jr.
17. Junior Caminero
18. Vladimir Guerrero Jr.
19. Nick Kurtz
20. Jackson Chourio
21. Kyle Schwarber
22. Francisco Lindor
23. Jazz Chisholm Jr.
24. Trea Turner
25. Pete Alonso
26. Ketel Marte
27. Yoshinobu Yamamoto
28. Mason Miller
29. Cristopher Sánchez
30. Yordan Alvarez
31. Edwin Díaz
32. Zach Neto
33. Pete Crow-Armstrong
34. James Wood
35. Manny Machado
36. Bryce Harper
37. Matt Olson
38. Logan Gilbert
39. Rafael Devers
40. Chris Sale
41. Hunter Brown
42. Bryan Woo
43. Mookie Betts
44. Jacob deGrom
45. Hunter Greene
46. William Contreras
47. Andrés Muñoz
48. Logan Webb
49. Cole Ragans
50. Jhoan Duran
51. Brent Rooker
52. Jackson Merrill
53. Max Fried
54. Wyatt Langford
55. Roman Anthony
56. Brice Turang
57. Josh Naylor
58. Cade Smith
59. Riley Greene
60. Shea Langeliers
61. Austin Riley
62. Joe Ryan
63. Jarren Duran
64. Freddie Freeman
65. CJ Abrams
66. Byron Buxton
67. George Kirby
68. Hunter Goodman
69. Freddy Peralta
70. Cody Bellinger
71. Geraldo Perdomo
72. Ben Rice
73. Dylan Cease
74. Jesús Luzardo
75. Kyle Bradish
76. David Bednar
77. Aroldis Chapman
78. Vinnie Pasquantino
79. Corey Seager
80. Oneil Cruz
81. Jeremy Peña
82. Maikel Garcia
83. George Springer
84. Bo Bichette
85. Devin Williams
86. Framber Valdez
87. Randy Arozarena
88. Seiya Suzuki
89. Tyler Soderstrom
90. Nick Pivetta
91. Blake Snell
92. Michael Harris II
93. Josh Hader
94. Nolan McLean
95. Eugenio Suárez
96. Eury Pérez
97. Salvador Perez
98. Nico Hoerner
99. Trevor Story
100. Christian Yelich
101. Alex Bregman
102. Agustín Ramírez
103. Michael Busch
104. Kyle Stowers
105. Jose Altuve
106. Tyler Glasnow
107. Kevin Gausman
108. Raisel Iglesias
